symbol,price_change_pct,volume_change_pct,volatility_score,rsi,moving_average_gap,target_up
ICICIBANK,0.89,-14.21,2.34,76.54,-2.34,0
SBIN,-3.84,-9.01,2.2,25.19,2.95,1
LT,2.21,-6.07,0.65,34.41,0.99,1
ITC,0.36,17.54,0.57,26.49,1.08,1
AXISBANK,2.77,23.58,1.39,59.41,-2.48,1
BHARTIARTL,-3.44,3.29,1.96,44.43,2.29,1
RELIANCE,-2.56,-2.77,3.48,41.86,2.48,1
TCS,2.88,0.85,2.19,42.33,0.36,1
INFY,0.26,-19.94,1.49,44.01,0.66,1
HDFCBANK,0.42,17.38,2.51,70.45,-3.06,0
ICICIBANK,0.96,-16.15,1.05,37.36,-2.43,1
SBIN,-1.07,-15.82,2.31,77.44,-0.69,0
LT,0.92,2.4,2.95,66.75,-1.56,1
ITC,1.88,-19.94,1.76,59.12,-0.7,1
AXISBANK,-2.55,20.63,3.2,35.31,2.51,1
BHARTIARTL,-1.67,-5.51,2.45,29.58,3.01,1
RELIANCE,-3.04,1.02,3.35,48.58,1.79,1
TCS,-3.55,-2.66,2.81,31.69,2.06,1
INFY,2.13,17.17,2.51,53.57,1.09,1
HDFCBANK,2.74,5.11,1.99,71.42,0.32,0
ICICIBANK,-2.83,13.33,1.37,73.33,-1.49,0
SBIN,2.8,-0.82,3.44,39.23,-0.96,1
LT,3.92,-11.95,2.43,27.37,3.12,1
ITC,-1.93,20.75,2.2,32.41,0.59,0
AXISBANK,4.33,1.75,2.18,48.81,2.1,1
BHARTIARTL,3.44,7.35,2.18,77.38,-1.32,0
RELIANCE,-1.29,12.26,2.67,31.42,-2.72,0
TCS,0.03,-10.1,1.39,45.18,1.81,1
INFY,-0.82,18.71,2.89,67.11,-3.14,0
HDFCBANK,0.88,9.96,1.74,77.23,2.68,1
ICICIBANK,2.72,-19.73,2.52,48.68,1.9,1
SBIN,0.21,0.59,1.04,64.79,2.5,1
LT,-2.36,-5.47,0.72,53.92,-3.06,0
ITC,-0.27,-14.94,1.65,61.68,-0.91,0
AXISBANK,3.35,6.51,0.58,61.84,1.26,1
BHARTIARTL,3.73,7.54,2.13,49.72,-1.82,1
RELIANCE,0.03,24.74,1.7,39.65,1.38,1
TCS,0.64,15.7,3.09,57.93,-0.86,1
INFY,-4.06,21.08,1.3,35.85,1.05,1
HDFCBANK,0.58,16.58,3.0,76.71,1.08,1
ICICIBANK,2.82,12.8,2.42,31.78,-0.03,1
SBIN,3.77,16.54,1.8,27.23,0.58,1
LT,-3.39,-14.57,1.41,27.71,0.85,0
ITC,-3.37,22.61,2.54,48.57,-2.5,0
AXISBANK,-2.98,-13.81,2.52,75.66,1.08,1
BHARTIARTL,1.57,13.37,2.82,31.87,0.81,1
RELIANCE,-2.85,10.87,2.84,66.33,1.0,0
TCS,0.18,18.12,0.91,66.96,1.69,1
INFY,2.18,13.94,2.57,56.52,2.07,1
HDFCBANK,-2.92,18.97,2.28,55.78,0.46,0
ICICIBANK,3.21,-6.64,2.71,52.98,2.13,1
SBIN,3.85,2.1,2.25,39.19,-3.09,1
LT,1.58,18.47,1.05,36.57,-2.3,1
ITC,-1.67,20.9,1.28,33.18,0.83,0
AXISBANK,-0.22,7.15,1.73,70.14,0.09,0
BHARTIARTL,2.27,-2.0,1.87,76.67,-1.74,0
RELIANCE,3.0,22.55,2.57,34.32,0.1,1
TCS,1.36,-7.98,1.68,44.63,-1.82,1
INFY,2.77,21.51,0.6,66.01,-1.43,1
HDFCBANK,-3.83,7.38,2.17,32.07,-2.14,0
ICICIBANK,-1.58,-3.5,2.65,41.06,-0.58,0
SBIN,0.74,-6.62,2.06,28.21,0.75,1
LT,3.75,-10.73,1.8,74.83,-1.59,0
ITC,-0.46,-18.99,2.73,73.23,-1.05,0
AXISBANK,-2.07,2.97,0.93,31.54,-0.15,0
BHARTIARTL,-4.27,-18.57,2.9,64.85,-2.07,0
RELIANCE,-1.37,14.94,0.9,77.03,-1.68,0
TCS,-0.99,23.12,2.13,32.79,0.91,0
INFY,0.13,-4.51,2.29,51.83,2.72,1
HDFCBANK,-3.38,-3.27,2.54,57.66,0.41,0
ICICIBANK,4.33,-5.51,0.7,54.78,-2.59,1
SBIN,-3.67,23.88,0.9,28.36,-1.04,0
LT,-2.77,-19.77,0.75,72.1,-2.55,0
ITC,-4.25,16.78,0.6,65.95,-1.86,0
AXISBANK,2.09,-3.99,0.55,66.79,0.07,1
BHARTIARTL,-0.99,-13.36,0.66,42.07,0.28,0
RELIANCE,4.08,-13.22,0.66,68.65,0.59,1
TCS,1.45,18.59,1.33,68.51,2.65,1
INFY,4.47,8.94,0.72,52.03,-2.16,1
HDFCBANK,1.26,-5.11,0.69,65.63,-1.58,1
ICICIBANK,0.1,15.03,2.4,61.93,-0.52,1
SBIN,-3.29,-6.53,3.32,26.68,-0.12,0
LT,3.82,12.65,0.95,53.66,-0.89,1
ITC,-2.58,3.56,1.82,64.7,-3.05,0
AXISBANK,-0.95,23.86,0.74,71.31,0.09,0
BHARTIARTL,-0.55,-4.71,1.36,44.67,2.46,1
RELIANCE,3.79,-13.65,2.51,38.88,-0.56,1
TCS,3.08,-3.63,2.4,53.68,-0.57,1
INFY,2.08,-17.76,2.65,74.03,3.07,1
HDFCBANK,-2.56,21.79,2.61,58.33,2.84,1
ICICIBANK,-1.05,5.42,2.89,76.56,-1.25,0
SBIN,0.49,-11.84,1.75,45.87,2.64,1
LT,1.13,-6.81,0.8,30.66,2.85,1
ITC,-0.53,21.81,2.97,34.92,-2.72,0
AXISBANK,2.4,9.27,0.69,75.7,-1.35,0
BHARTIARTL,-2.08,15.93,2.27,77.76,-1.09,0
RELIANCE,2.48,-14.94,0.59,69.66,-0.65,1
TCS,-2.19,-4.25,2.67,60.27,2.54,1
INFY,-1.3,6.87,3.32,49.99,1.99,1
HDFCBANK,-2.3,10.77,1.21,68.6,0.17,0
ICICIBANK,-0.11,-9.95,3.25,70.23,2.8,1
SBIN,-2.28,6.39,1.35,63.34,-0.93,0
LT,-0.42,-2.22,1.55,37.37,-1.44,0
ITC,3.73,-19.32,1.92,68.7,1.11,1
AXISBANK,-4.49,0.09,0.61,54.42,1.59,1
BHARTIARTL,-1.07,24.3,2.48,75.93,0.6,0
RELIANCE,-1.83,-19.54,3.49,64.43,1.76,1
TCS,-3.42,2.7,1.75,30.61,1.64,1
INFY,4.49,-2.35,1.37,60.55,2.07,1
HDFCBANK,-3.32,-1.25,1.1,48.31,0.31,0
ICICIBANK,2.86,-16.8,2.04,57.22,0.28,1
SBIN,-3.87,-9.75,2.72,29.15,-1.0,0
LT,-0.27,0.34,0.53,68.38,-3.03,0
ITC,0.75,6.94,2.35,41.25,-0.03,1
AXISBANK,-3.3,8.65,0.59,45.1,-1.39,0
BHARTIARTL,2.33,22.86,1.68,29.52,0.95,1
RELIANCE,-4.46,8.01,0.94,64.6,-0.13,0
TCS,0.17,23.32,3.21,68.33,1.35,1
INFY,3.15,13.38,1.34,56.23,1.43,1
HDFCBANK,-2.29,8.18,2.83,29.6,-0.74,0
ICICIBANK,-2.78,-17.55,0.82,36.73,-1.08,0
SBIN,1.87,-18.9,1.81,67.93,-1.82,1
LT,3.86,23.89,2.24,77.4,2.96,1
ITC,-0.57,5.91,2.39,39.28,1.58,1
AXISBANK,-0.52,13.16,2.57,68.37,2.81,1
BHARTIARTL,0.29,-9.7,2.16,41.37,-2.21,1
RELIANCE,-4.11,22.36,1.06,51.38,2.83,1
TCS,2.52,-10.85,2.61,26.27,-1.45,1
INFY,2.56,-13.53,3.21,63.02,-2.77,1
HDFCBANK,-1.43,-17.49,1.48,27.62,0.31,0
ICICIBANK,-1.69,-12.04,0.62,26.17,0.23,0
SBIN,0.48,24.18,1.5,56.03,-0.91,1
LT,2.79,9.29,2.24,36.18,-1.84,1
ITC,3.45,-16.16,2.53,33.21,1.55,1
AXISBANK,0.75,-4.54,3.47,64.08,-2.02,1
BHARTIARTL,0.31,24.15,1.86,61.17,-1.92,1
RELIANCE,-1.55,-18.34,3.37,64.99,0.19,0
TCS,3.81,19.82,0.65,76.32,-2.33,0
INFY,3.13,14.66,2.84,72.3,-0.86,0
HDFCBANK,-4.02,24.67,1.12,41.57,1.77,1
ICICIBANK,-0.79,3.44,3.13,65.98,-0.16,0
SBIN,-1.52,4.6,2.69,75.2,0.75,0
LT,-2.88,1.76,3.33,71.56,0.27,0
ITC,-1.64,1.2,2.01,25.81,0.68,0
AXISBANK,2.77,7.47,0.92,69.92,1.35,1
BHARTIARTL,0.69,13.65,1.53,77.52,-1.57,0
RELIANCE,-3.98,-13.89,1.05,77.75,-1.19,0
TCS,-4.25,-5.8,0.53,63.58,2.69,1
INFY,-2.64,17.1,2.21,45.92,-1.42,0
HDFCBANK,3.08,-17.02,1.79,72.56,0.16,0
ICICIBANK,1.87,7.64,2.89,72.83,1.32,1
SBIN,-3.63,-1.97,0.59,63.6,-3.03,0
LT,0.92,-5.17,2.89,46.98,0.63,1
ITC,1.82,20.62,3.02,41.8,-1.51,1
AXISBANK,0.42,-3.31,0.64,63.95,-2.78,1
BHARTIARTL,2.79,-3.9,1.4,60.46,-2.71,1
RELIANCE,1.24,7.58,1.07,52.01,-3.02,1
TCS,-2.13,-14.23,0.75,63.68,-2.17,0
INFY,-2.33,19.65,1.51,71.23,1.64,1
HDFCBANK,1.47,8.11,1.18,28.87,1.05,1
ICICIBANK,0.55,-16.21,2.1,38.72,2.45,1
SBIN,-0.16,18.35,1.11,75.21,-0.45,0
LT,-0.17,2.83,3.07,63.93,3.19,1
ITC,3.0,-11.31,1.76,60.89,-1.25,1
AXISBANK,-2.28,1.31,2.46,34.54,0.14,0
BHARTIARTL,-1.93,11.2,0.64,37.49,2.03,1
RELIANCE,-3.77,-5.17,0.96,31.73,-3.2,0
TCS,1.09,3.43,2.2,54.0,0.65,1
INFY,-0.41,-7.34,3.01,35.16,1.7,1
HDFCBANK,2.56,-0.63,0.7,32.06,1.37,1
ICICIBANK,0.84,11.98,3.04,38.05,2.6,1
SBIN,-4.38,-18.38,1.82,57.02,2.94,1
LT,1.37,18.71,2.38,36.79,2.31,1
ITC,0.36,-5.54,2.09,44.69,0.07,1
AXISBANK,-4.09,-9.77,0.8,74.89,3.09,1
BHARTIARTL,0.81,5.77,0.82,31.36,0.78,1
RELIANCE,3.53,-2.48,3.2,50.03,1.09,1
TCS,4.01,7.77,3.07,34.19,-1.14,1
INFY,-0.88,-17.46,3.06,39.0,-0.48,0
HDFCBANK,2.74,8.51,2.06,75.43,-1.41,0
ICICIBANK,-1.38,7.94,1.22,39.54,-0.85,0
SBIN,-2.65,11.87,0.94,55.97,1.18,1
LT,1.09,-7.2,0.67,70.59,0.92,0
ITC,-2.81,7.26,3.13,31.15,-1.06,0
AXISBANK,3.5,-9.65,2.98,32.55,-1.92,1
BHARTIARTL,2.82,-3.11,2.73,49.92,-1.57,1
RELIANCE,-2.82,-3.81,0.88,60.31,3.16,1
TCS,3.37,8.0,2.34,29.18,2.95,1
INFY,3.97,-8.74,2.04,47.56,0.17,1
HDFCBANK,0.29,6.72,1.33,74.57,2.37,1
ICICIBANK,-2.51,12.2,1.3,46.53,-0.13,0
SBIN,1.79,12.03,1.46,47.0,0.89,1
LT,4.22,-13.77,0.84,72.58,1.56,1
ITC,-2.57,-12.64,2.94,65.48,-3.12,0
AXISBANK,2.05,4.76,1.61,64.12,-1.46,1
BHARTIARTL,-0.57,10.42,1.17,62.81,-0.95,0
RELIANCE,-0.75,14.77,3.0,37.02,0.87,0
TCS,3.66,6.98,2.73,67.34,-1.89,1
INFY,2.04,10.07,3.11,52.43,3.01,1
HDFCBANK,-0.45,16.48,0.78,30.67,-2.85,0
ICICIBANK,-2.18,3.3,2.18,41.02,1.02,1
SBIN,-2.12,18.98,1.92,74.93,-2.87,0
LT,-1.35,0.73,0.61,59.32,-1.54,0
ITC,-0.28,2.2,1.94,60.87,1.32,1
AXISBANK,-1.2,0.84,1.14,45.15,0.61,0
BHARTIARTL,0.6,-19.13,1.79,56.97,-0.27,1
RELIANCE,-3.64,-8.78,3.32,46.69,1.86,1
TCS,-4.48,14.61,1.53,51.39,2.17,1
INFY,4.35,4.6,0.83,75.08,2.78,1
HDFCBANK,1.05,7.32,0.56,42.57,0.82,1
ICICIBANK,0.1,2.78,1.86,58.7,2.45,1
SBIN,2.46,8.33,2.28,36.75,3.08,1
LT,-0.45,16.92,3.39,27.58,-3.18,0
ITC,3.92,-16.35,2.53,52.15,-2.06,1
AXISBANK,-1.61,-4.28,1.38,39.15,-2.59,0
BHARTIARTL,-2.58,12.31,2.78,54.07,-3.03,0
RELIANCE,2.96,-0.55,1.12,51.11,-1.19,1
TCS,-1.06,5.03,1.0,76.1,1.06,1
INFY,-1.25,9.89,1.18,39.08,2.26,1
HDFCBANK,0.49,20.18,0.65,75.83,-1.19,0
ICICIBANK,-0.02,22.94,0.8,31.08,1.38,1
SBIN,2.86,9.41,2.72,30.41,2.19,1
LT,2.83,-15.11,2.75,51.89,-0.69,1
ITC,2.31,3.92,0.53,32.19,-0.34,1
AXISBANK,2.5,-4.87,1.18,74.59,-1.9,0
BHARTIARTL,0.18,15.59,0.5,38.06,0.31,1
RELIANCE,0.75,14.57,2.05,72.94,0.98,0
TCS,-3.86,-4.42,1.88,36.38,-0.37,0
INFY,-0.82,1.73,1.92,59.91,-1.06,0
HDFCBANK,-2.14,7.46,1.21,41.25,-1.14,0
ICICIBANK,-2.33,-14.09,2.98,64.24,0.4,0
SBIN,4.14,-0.07,1.71,66.66,0.2,1
LT,1.59,-10.78,2.99,50.48,1.61,1
ITC,1.53,2.32,1.5,42.43,-0.53,1
AXISBANK,4.46,-18.4,2.39,71.25,-2.15,0
BHARTIARTL,3.31,-3.04,2.54,60.65,-1.05,1
RELIANCE,-0.32,-2.0,3.12,41.03,1.88,1
TCS,-2.08,-4.39,1.28,37.98,-0.13,0
INFY,-3.25,19.85,3.33,36.87,-0.03,0
HDFCBANK,-3.5,0.61,1.69,73.86,-0.22,0
ICICIBANK,1.19,4.52,3.25,37.89,-0.57,1
SBIN,-4.37,0.36,0.77,61.52,2.88,1
LT,-2.93,4.55,2.43,70.99,0.63,0
ITC,0.6,16.26,1.22,55.05,2.51,1
AXISBANK,0.14,11.89,0.8,72.54,2.55,1
BHARTIARTL,3.39,15.9,0.88,28.44,-0.07,1
RELIANCE,-2.56,-16.61,1.61,68.89,-0.87,0
TCS,-1.39,-16.59,1.25,41.84,2.93,1
INFY,0.85,15.64,3.45,75.83,2.9,1
HDFCBANK,0.91,15.58,2.48,55.64,2.08,1
ICICIBANK,2.42,10.87,1.42,43.63,-0.53,1
SBIN,-1.59,-7.94,3.46,76.47,2.1,1
LT,0.31,1.32,3.39,57.26,2.43,1
ITC,4.48,8.79,2.94,54.34,2.78,1
AXISBANK,3.68,7.13,3.35,41.33,-0.29,1
BHARTIARTL,-2.92,17.7,1.07,46.87,-0.68,0
RELIANCE,1.79,8.0,2.77,60.92,0.5,1
TCS,-0.43,17.99,1.49,42.43,0.15,0
INFY,-3.86,-19.53,2.12,68.95,-1.16,0
HDFCBANK,-3.55,-13.99,1.92,65.45,1.44,1
ICICIBANK,-2.01,2.69,2.43,55.49,1.01,1
SBIN,-2.4,-2.84,3.3,41.65,2.14,1
LT,1.62,-18.26,1.09,40.67,-2.24,1
ITC,-0.96,-5.11,3.14,27.67,-2.26,0
AXISBANK,-3.98,-17.76,2.68,37.84,2.14,1
BHARTIARTL,1.36,-18.53,2.94,65.09,-0.46,1
RELIANCE,0.4,23.04,2.16,37.63,0.29,1
TCS,-1.37,19.11,2.09,65.2,0.25,0
INFY,-0.66,13.86,1.23,71.0,1.99,1
HDFCBANK,-4.35,-19.5,3.26,75.75,-0.02,0
ICICIBANK,-0.49,-8.75,2.74,48.73,1.24,1
SBIN,-3.3,1.48,1.36,39.74,-0.7,0
LT,-1.8,17.26,0.92,61.35,2.65,1
ITC,-4.24,13.4,2.62,61.23,2.63,1
AXISBANK,-1.06,17.19,3.12,38.63,1.18,1
BHARTIARTL,-3.14,-19.57,1.21,57.01,-0.76,0
RELIANCE,0.83,0.29,3.45,42.97,0.37,1
TCS,-0.21,-7.62,2.1,66.5,-1.72,0
INFY,3.66,-1.7,2.38,41.28,-0.9,1
HDFCBANK,3.55,17.76,3.33,45.48,-1.07,1
ICICIBANK,-3.25,-15.02,0.9,63.65,-2.79,0
SBIN,1.15,19.96,1.02,27.14,2.0,1
LT,2.14,-14.86,2.35,48.28,-0.87,1
ITC,-3.82,-19.39,1.09,73.43,2.55,1
AXISBANK,0.26,-16.62,1.12,25.48,-0.45,1
BHARTIARTL,1.87,24.36,1.59,75.03,-1.3,0
RELIANCE,-1.25,12.73,1.28,27.64,1.56,1
TCS,-3.13,6.36,0.74,36.27,1.7,1
INFY,-2.25,12.26,0.78,54.32,1.76,1
HDFCBANK,3.2,18.06,2.04,61.91,-2.15,1
ICICIBANK,3.57,9.42,1.19,62.01,-0.33,1
SBIN,3.09,6.45,1.05,38.84,2.49,1
LT,3.29,-1.35,2.63,52.9,2.08,1
ITC,0.06,-18.42,2.25,75.09,0.42,0
AXISBANK,-3.17,12.62,2.81,45.2,-1.71,0
BHARTIARTL,-4.11,-1.37,3.42,45.93,1.7,1
RELIANCE,-3.08,10.29,1.94,44.73,-1.09,0
TCS,-2.77,-12.06,3.36,46.07,-1.91,0
INFY,2.6,-9.7,1.59,58.09,0.97,1
HDFCBANK,-3.02,3.4,2.88,53.82,2.05,1
ICICIBANK,0.56,8.68,1.14,27.22,0.99,1
SBIN,-4.16,-2.41,1.62,41.29,-1.04,0
LT,-3.6,-5.13,2.19,42.49,1.64,1
ITC,-2.71,8.49,0.53,60.62,2.62,1
AXISBANK,4.0,9.0,2.55,42.24,0.16,1
BHARTIARTL,1.4,13.15,0.9,38.67,-0.24,1
RELIANCE,-0.29,-5.24,2.15,39.61,2.96,1
TCS,1.34,10.85,3.34,73.07,2.35,1
INFY,4.38,-3.73,2.1,44.99,2.04,1
HDFCBANK,-3.75,8.36,3.16,31.99,-2.01,0
ICICIBANK,-3.65,-2.56,1.44,76.51,-2.28,0
SBIN,1.47,-19.15,1.62,36.99,0.92,1
LT,0.17,-9.55,2.4,59.43,0.72,1
ITC,3.15,7.52,3.46,59.51,1.3,1
AXISBANK,-2.14,16.56,3.41,75.75,0.71,0
BHARTIARTL,-1.78,19.87,2.43,28.29,1.82,1
RELIANCE,0.36,-6.39,3.35,68.54,-1.49,1
TCS,1.18,13.74,1.37,68.36,0.86,1
INFY,-1.95,-3.51,2.9,55.7,-0.3,0
HDFCBANK,0.27,-12.47,1.42,31.38,2.66,1
ICICIBANK,-4.02,19.14,1.13,74.06,-0.77,0
SBIN,-0.67,19.52,2.93,71.03,-0.05,0
LT,-1.99,19.26,2.4,65.05,0.15,0
ITC,2.99,-5.44,1.27,62.59,-0.36,1
AXISBANK,3.99,-9.02,1.96,63.2,0.91,1
BHARTIARTL,-0.75,2.46,1.75,67.16,3.08,1
RELIANCE,-2.99,-7.08,1.26,62.05,2.25,1
TCS,-3.59,8.83,2.55,60.77,-2.5,0
INFY,-0.89,-18.91,2.0,62.18,-1.09,0
HDFCBANK,-1.95,-17.72,3.12,38.34,2.61,1
ICICIBANK,4.46,-1.95,1.13,65.56,-3.12,1
SBIN,3.63,-5.38,2.21,27.96,2.62,1
LT,4.26,-8.1,2.86,72.03,2.89,1
ITC,-3.73,4.05,0.6,58.98,-1.64,0
AXISBANK,-1.04,-1.76,3.03,47.03,1.55,1
BHARTIARTL,-3.91,-16.69,1.97,48.79,-2.92,0
RELIANCE,-1.23,11.96,0.68,32.08,0.8,0
TCS,-2.84,-6.89,0.5,59.95,-2.19,0
INFY,0.15,20.95,2.14,61.86,-2.22,1
HDFCBANK,0.22,-5.45,2.0,45.0,1.72,1
ICICIBANK,4.47,-18.59,2.76,56.98,-1.95,1
SBIN,-0.9,20.45,1.71,48.98,-1.32,0
LT,-0.92,23.06,3.49,48.68,-1.26,0
ITC,2.67,13.45,1.07,27.35,3.17,1
AXISBANK,-4.23,6.0,1.3,34.44,2.38,1
BHARTIARTL,3.87,-4.29,3.27,75.63,-2.18,0
RELIANCE,-3.67,7.2,1.21,54.98,1.57,1
TCS,-2.53,-13.74,1.94,66.29,1.78,1
INFY,-2.71,4.72,2.26,51.42,0.36,0
HDFCBANK,-3.81,14.74,2.12,70.66,1.31,1
ICICIBANK,3.53,8.68,1.19,53.9,1.75,1
SBIN,4.18,19.19,1.51,39.46,1.87,1
LT,-3.32,-13.75,2.57,66.16,1.16,1
ITC,0.32,-9.83,0.7,39.46,2.9,1
AXISBANK,4.08,6.5,2.13,28.12,0.05,1
BHARTIARTL,1.68,-12.95,2.35,67.93,1.32,1
RELIANCE,0.39,4.1,1.45,46.58,-2.55,1
TCS,1.07,13.09,1.39,59.12,1.3,1
INFY,1.14,-0.73,0.78,50.37,-2.45,1
HDFCBANK,-0.85,-19.19,1.21,74.98,0.44,0
ICICIBANK,-3.88,-1.26,1.27,30.84,0.09,0
SBIN,0.17,15.18,1.8,76.51,1.64,1
LT,1.02,20.69,3.08,67.6,-0.31,1
ITC,-3.6,11.54,1.31,27.9,-1.24,0
AXISBANK,3.47,21.1,3.05,50.73,-0.5,1
BHARTIARTL,3.27,6.44,2.3,61.74,-1.54,1
RELIANCE,4.32,-9.45,0.77,34.41,0.33,1
TCS,-2.19,12.24,3.12,34.57,1.75,1
INFY,-2.79,15.0,3.23,40.22,1.16,1
HDFCBANK,-0.07,8.34,1.81,63.21,-1.19,0
ICICIBANK,2.99,13.94,2.89,32.02,0.39,1
SBIN,-0.21,1.13,2.12,76.81,-0.24,0
LT,-0.65,17.26,2.53,48.43,-0.87,0
ITC,0.41,-9.51,1.81,54.17,0.81,1
AXISBANK,-3.56,4.05,3.04,62.01,0.24,0
BHARTIARTL,-4.15,-19.15,3.31,76.53,-0.53,0
RELIANCE,1.23,24.12,0.7,73.74,-0.25,0
TCS,-3.32,15.84,2.27,57.57,0.93,0
INFY,-1.03,0.13,2.32,29.12,-2.85,0
HDFCBANK,-0.32,-4.07,1.41,69.02,0.67,0
ICICIBANK,3.27,10.23,2.71,65.81,-0.56,1
SBIN,-1.33,-8.95,1.34,47.83,1.96,1
LT,-4.47,-9.92,0.53,62.25,-1.95,0
ITC,1.66,23.09,2.52,34.67,-0.34,1
AXISBANK,1.58,1.06,3.33,34.38,-3.0,1
BHARTIARTL,1.97,3.76,1.41,55.73,-3.01,1
RELIANCE,-2.79,-10.06,0.92,25.39,1.24,1
TCS,1.54,-10.56,2.5,43.32,1.74,1
INFY,0.92,-1.29,3.05,56.31,-2.91,1
HDFCBANK,-3.62,-10.89,1.45,44.5,-2.17,0
ICICIBANK,2.44,9.61,1.39,66.58,-2.09,1
SBIN,-4.2,-9.96,1.84,57.22,-2.41,0
LT,3.92,-10.91,2.71,72.54,3.16,1
ITC,2.71,5.11,0.81,40.21,0.44,1
AXISBANK,1.08,-6.2,0.51,47.58,-2.15,1
BHARTIARTL,3.48,-17.77,1.88,40.5,0.3,1
RELIANCE,-3.93,13.57,0.77,66.81,1.92,1
TCS,2.07,-10.57,0.83,27.77,-2.39,1
INFY,1.13,0.9,2.13,52.36,-1.32,1
HDFCBANK,-1.93,-10.15,3.07,40.02,-1.12,0
ICICIBANK,-0.36,-12.96,0.91,53.18,-1.09,0
SBIN,3.95,-11.83,1.06,48.78,-1.11,1
LT,-2.49,3.7,0.53,54.97,-2.51,0
ITC,-3.75,1.36,2.77,56.18,-1.47,0
AXISBANK,-4.24,5.62,1.45,59.17,3.19,1
BHARTIARTL,-3.56,14.92,0.79,70.01,-1.94,0
RELIANCE,1.53,23.08,1.17,53.8,-2.39,1
TCS,-3.56,8.09,2.49,49.84,0.12,0
INFY,0.42,0.53,2.59,71.34,-3.1,0
HDFCBANK,-0.56,9.87,0.92,65.21,-2.27,0
ICICIBANK,-2.99,-17.56,1.97,63.47,2.25,1
